<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCG,20221018,68.4,68.7,67.8,67.8,498700
SCI,20221018,10.3,10.4,10.2,10.2,55200
SD4,20221018,4.5,4.5,4.5,4.5,100
SD5,20221018,8.6,8.8,8.5,8.6,57809
SD6,20221018,3.4,3.4,3.1,3.4,16300
SD9,20221018,7.5,7.6,7.3,7.5,17200
SDA,20221018,7.8,8.1,7.8,8.1,121100
SDN,20221018,45,46,45,46,200
SDT,20221018,3.6,3.7,3.4,3.7,128200
SED,20221018,18.5,18.5,18.5,18.5,133
SFN,20221018,24.8,24.8,24.8,24.8,200
SGC,20221018,91,91,91,91,1
SHE,20221018,10.2,10.5,10.2,10.5,1600
SHN,20221018,8.5,8.5,7.9,7.9,800
SHS,20221018,8.6,8.9,8.5,8.6,8629425
SLS,20221018,127,135.5,126,135.5,4224
SMT,20221018,13.1,13.1,12,13.1,13400
SPI,20221018,3.9,4,3.9,4,15300
SRA,20221018,4.6,4.8,4.6,4.7,349142
STC,20221018,19,19,19,19,100
STP,20221018,8,8,8,8,700
SVN,20221018,5.2,5.2,4.8,5,5200
SZB,20221018,28.1,29.9,28.1,29.1,3100
TA9,20221018,14,14.7,14,14.7,200
TAR,20221018,17.8,18.3,17.5,18,957282
TC6,20221018,7.1,7.8,7.1,7.8,267101
TDN,20221018,9,9,8.8,9,34300
TDT,20221018,7.9,8,7.8,7.9,4649
TFC,20221018,7.7,7.7,7.4,7.4,200
THD,20221018,40.9,41.3,40.9,41,4500
THS,20221018,20.3,20.3,20.3,20.3,100
THT,20221018,9.5,9.5,9.4,9.5,48300
TIG,20221018,9.9,10.4,9.7,10,393026
TJC,20221018,17.1,17.1,14.1,17.1,33900
TKC,20221018,6.4,6.4,5.9,5.9,11500
TKG,20221018,13,13,12.8,13,68400
TKU,20221018,12.3,12.3,12,12,700
TNG,20221018,16.5,17.4,16.5,16.9,2120307
TOT,20221018,12.2,12.2,10.5,11.9,2001
TPP,20221018,9.9,10.9,9.9,10.9,200
TTC,20221018,11,12.1,11,12.1,2700
TTH,20221018,2.7,2.8,2.7,2.8,154930
TTL,20221018,10,10.2,10,10.1,3600
TTZ,20221018,3,3.3,3,3.3,1400
TV3,20221018,16.8,17.4,16.8,17.3,400
TV4,20221018,15.2,16.8,15.2,16.8,132080
