<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20221018,12.5,12.8,12.5,12.7,123312
ABB,20221018,8.9,9.2,8.9,9,517314
ABI,20221018,37.3,38.8,37.3,37.4,2947
ACV,20221018,74.6,76.6,74.5,76.6,49129
AFX,20221018,12.4,13.5,11.8,13.5,64200
AG1,20221018,5.2,5.3,5.2,5.3,10900
AGP,20221018,20.5,20.5,20.3,20.3,7603
AIC,20221018,10.4,10.5,10.4,10.5,8300
ALV,20221018,4,4.4,4,4.4,2500
AMS,20221018,6.6,6.7,6.5,6.5,7455
ANT,20221018,10.6,11.1,9.6,9.6,1600
APF,20221018,65.4,66,65.4,65.6,2004
APP,20221018,7.3,7.3,7.3,7.3,115
AVC,20221018,41.1,41.1,41.1,41.1,3000
BBH,20221018,16.8,16.8,16.8,16.8,100
BBM,20221018,8.6,8.7,8.6,8.7,748
BCA,20221018,6.6,6.8,6.4,6.4,58100
BCP,20221018,9.8,9.8,9.8,9.8,600
BDG,20221018,25.6,25.6,25.6,25.6,500
BDT,20221018,44,47.5,44,47.5,1300
BHA,20221018,15,15,15,15,2000
BHP,20221018,8,8,8,8,600
BIG,20221018,15.9,16,13.1,15.5,107100
BIO,20221018,27.5,27.5,27,27,500
BLI,20221018,14,14.2,13.5,14.2,4200
BLT,20221018,21.2,27.9,21.2,27.9,200
BMF,20221018,28.5,28.5,28.5,28.5,100
BMN,20221018,22.5,22.5,19.6,22.5,2600
BMS,20221018,6.9,7,6.8,7,27240
BOT,20221018,5.4,5.5,5.3,5.4,46500
BQB,20221018,3.9,3.9,3.9,3.9,100
BRR,20221018,21,24.3,19.5,22.4,6400
BSA,20221018,17.1,17.1,17.1,17.1,1000
BSG,20221018,12.5,12.5,10.5,12.1,5800
BSH,20221018,30,30,30,30,2000
BSQ,20221018,38.5,38.5,38.5,38.5,400
BSR,20221018,20.4,20.7,20.1,20.1,4797120
BTD,20221018,29,29,29,29,900
BTG,20221018,8.5,8.5,8.5,8.5,4230
BTN,20221018,4.7,4.7,4.7,4.7,1004
BTV,20221018,11.3,11.3,11.3,11.3,200
BVB,20221018,10.2,10.2,10,10.1,201423
BVG,20221018,2.4,2.4,2.3,2.3,46600
BVN,20221018,9.1,9.1,9.1,9.1,100
BWS,20221018,31.5,31.5,31.5,31.5,2200
C21,20221018,12.2,12.2,12.1,12.1,1900
C4G,20221018,10.4,10.7,10.3,10.5,840019
C92,20221018,3.3,3.4,3.2,3.2,11200
CAB,20221018,14.3,14.3,14.3,14.3,100
CAR,20221018,30.5,31.5,30.5,31.1,5300
CAT,20221018,21,22.5,21,22.5,3301
CBS,20221018,57,58,57,57,900
CC1,20221018,13,13,11.6,11.6,1570
CCM,20221018,41.2,41.2,41.2,41.2,100
CCT,20221018,9.7,9.7,9.7,9.7,100
CDP,20221018,11.5,11.5,11.2,11.2,3000
CDR,20221018,7.2,7.2,7.2,7.2,300
CEN,20221018,4.9,5.5,4.9,5.5,971400
CFM,20221018,9,9,9,9,5000
CGV,20221018,3.3,3.3,3.3,3.3,13300
CHS,20221018,9.8,10,9.8,10,9400
CIP,20221018,3.2,3.4,3.2,3.3,7100
CKD,20221018,26,26,26,26,100
CLX,20221018,14,14.2,13.9,14.1,52426
CMD,20221018,19.1,19.1,19.1,19.1,4500
CMT,20221018,18.2,18.2,17.9,17.9,300
CNC,20221018,30,30,30,30,1400
CNN,20221018,28.9,31,28.9,31,200
CNT,20221018,13.6,14,13.6,13.6,1212
CQN,20221018,19,19,19,19,3000
CSI,20221018,62,64,60,61,52300
CST,20221018,14.6,14.7,14.4,14.6,44900
CT3,20221018,8.8,8.8,8.8,8.8,300
DAN,20221018,26.5,26.5,26.5,26.5,300
DC1,20221018,7.6,8.2,7.6,8.2,200
DDN,20221018,11.6,11.6,11.2,11.5,12945
DDV,20221018,14.6,14.7,14.3,14.4,216865
DFF,20221018,15.3,15.4,13.6,15.4,11200
DID,20221018,4.4,4.7,4.4,4.6,9800
DND,20221018,20.5,20.5,20.5,20.5,100
DNW,20221018,26,27,26,27,7900
DOP,20221018,16.9,16.9,16.9,16.9,100
DRI,20221018,7,7.2,7,7,181300
DSC,20221018,41.5,42.2,41.5,41.9,86000
DSD,20221018,26.6,26.6,26.6,26.6,100
DSG,20221018,4.9,4.9,4.9,4.9,300
DTE,20221018,10.3,10.3,10.3,10.3,100
DTI,20221018,5.4,7.1,5.4,7.1,17000
DTP,20221018,49.4,49.4,48,48,1700
DVN,20221018,16.9,17.3,16.7,17.3,57953
DWS,20221018,12,12,12,12,1500
E12,20221018,4.9,6.1,4.9,6,2100
E29,20221018,5,5,4.9,5,2800
EIC,20221018,24.2,24.2,24,24.2,3700
EIN,20221018,3.8,3.9,3.7,3.7,3400
EMS,20221018,25.5,25.5,25.5,25.5,362
FHS,20221018,24.3,24.3,21.2,21.2,2100
FIC,20221018,21.3,21.3,18.3,18.8,3400
FOC,20221018,116,116,116,116,100
FOX,20221018,62,62,61,61,13863
FT1,20221018,33.6,36.5,33.6,36.5,300
FTM,20221018,2.2,2.4,2.2,2.3,723678
G36,20221018,6.4,6.4,6.2,6.3,189489
GCB,20221018,17.5,17.5,17.5,17.5,100
GE2,20221018,28,29,28,28,2200
GEE,20221018,28.9,28.9,26.2,26.2,167510
GER,20221018,10.8,10.8,10.8,10.8,100
GHC,20221018,27.1,27.1,27.1,27.1,6260
GND,20221018,33.2,33.2,28.8,28.8,3700
GTD,20221018,9.5,9.5,9.5,9.5,100
GTH,20221018,4,4.3,4,4.3,7335
H11,20221018,5.8,5.8,4.7,5,2600
HAC,20221018,6.3,6.3,6,6.1,4800
HAF,20221018,37,37,37,37,100
HAN,20221018,8.6,9.7,8.6,9.7,1300
HAV,20221018,3,3.1,3,3.1,300
HBH,20221018,8.2,8.2,8.2,8.2,200
HC3,20221018,35,35,35,35,3100
HD2,20221018,22.7,23,21.6,22.4,40900
HD6,20221018,22.5,22.5,21.5,21.6,26933
HD8,20221018,9.8,10.5,9.8,10.5,300
HDP,20221018,13.9,13.9,13.8,13.8,6800
HEC,20221018,51,55,51,55,3000
HEJ,20221018,14.3,15.5,14.3,15.5,3900
HEM,20221018,12.5,12.8,12.5,12.8,5820
HIG,20221018,7.9,8,7.7,8,5260
HLB,20221018,218,218,218,218,100
HMS,20221018,25,25,25,25,1000
HNA,20221018,18.3,18.3,18.2,18.2,370
HND,20221018,14.4,14.4,14.2,14.3,46160
HNI,20221018,27.5,27.5,26,26,2100
HPD,20221018,20.8,26.4,20.8,23.9,2800
HPM,20221018,24.5,24.5,24.5,24.5,1100
HPP,20221018,57,57,55,55,376
HPT,20221018,16,16.5,14.5,16.5,6400
HPW,20221018,17.8,17.8,17.8,17.8,300
HRT,20221018,5.3,5.3,5,5,3800
HSM,20221018,11.9,11.9,11.9,11.9,101
HSV,20221018,4.9,4.9,4.7,4.8,3600
HTE,20221018,4.3,5,4.2,4.9,22924
HTG,20221018,29,29.1,28.7,29,14766
HTM,20221018,15,15,15,15,100
HU4,20221018,9.1,9.6,9.1,9.3,27711
HU6,20221018,8.8,8.8,8.8,8.8,100
HVA,20221018,6.7,6.7,6.7,6.7,200
HWS,20221018,11.5,11.6,11.5,11.6,700
ICC,20221018,45,45,42,42,4900
ICF,20221018,2.4,2.4,2.2,2.2,19600
ICI,20221018,7.1,7.1,7.1,7.1,200
ICN,20221018,110,110,103.6,105.5,5800
ILA,20221018,5.6,5.6,5.3,5.4,11800
ILC,20221018,10.5,11.7,9.1,9.1,4350
ILS,20221018,13.2,13.2,13.2,13.2,200
ITS,20221018,3.3,3.5,3.3,3.4,7800
KCB,20221018,5.9,6.5,5.9,6.5,11800
KCE,20221018,10,11.9,10,11.9,1100
KHD,20221018,6.9,7,6.6,7,3000
KLB,20221018,22.9,22.9,22.9,22.9,130
KSV,20221018,38.8,38.8,29.2,36,5101
L12,20221018,5.8,6.3,5.8,6,16700
L45,20221018,3.3,3.3,3.3,3.3,200
L63,20221018,5.7,6.3,5.7,6.3,1000
LAI,20221018,31,31,31,31,1
LAW,20221018,12.6,12.6,12.6,12.6,100
LCM,20221018,3.5,3.6,3.4,3.5,185106
LG9,20221018,6.6,6.6,6.6,6.6,2800
LIC,20221018,16.9,17.5,16.9,17.5,4700
LMH,20221018,8.7,8.9,7.7,7.9,789919
LPT,20221018,10.4,10.8,10.4,10.6,31703
LSG,20221018,7.5,7.5,7.3,7.3,2025
LTG,20221018,31.5,31.7,31.1,31.4,115320
M10,20221018,20,20,20,20,90000
MCH,20221018,70,72.5,70,72.5,38332
MCM,20221018,37.5,38.3,37.4,38,15942
MDF,20221018,10.3,10.3,10.3,10.3,500
MFS,20221018,26.8,26.9,26.8,26.8,1120
MGC,20221018,4.7,4.7,4.6,4.6,31300
MGG,20221018,40,40,31,31,400
MGR,20221018,9.6,9.6,9.6,9.6,200
MH3,20221018,45,45,45,45,5100
MKP,20221018,27.4,27.4,26,26.1,5300
MLS,20221018,15.8,17.2,15.5,17,1200
MML,20221018,45,46,45,45.9,7213
MPC,20221018,43,43.5,42.6,42.9,112600
MQN,20221018,31.9,31.9,31.9,31.9,29
MRF,20221018,31.1,31.1,31.1,31.1,200
MSR,20221018,14.3,15.1,14.3,14.8,226561
MTA,20221018,7,7,7,7,1000
MTG,20221018,4,4,4,4,515
MTP,20221018,9.5,9.5,9.5,9.5,800
MTS,20221018,9.9,9.9,9.9,9.9,900
MVC,20221018,6.9,6.9,6.7,6.8,8600
MVN,20221018,21.4,24.5,21.4,24.5,500
NAB,20221018,12.2,12.3,12,12.1,123177
NCS,20221018,17,19.5,17,19.5,600
NDT,20221018,12.2,12.3,12,12.1,8700
NED,20221018,6.3,6.5,6.3,6.4,113400
NHV,20221018,41.8,44,41.8,43,1900
NTC,20221018,155.6,161,155.6,157.5,1915
NUE,20221018,9.6,9.6,9.4,9.6,37100
NXT,20221018,18.1,18.1,17.1,17.5,18910
ODE,20221018,42.7,43.5,41.9,43.2,99200
OIL,20221018,10.4,10.5,10.2,10.4,815142
PAS,20221018,6.2,6.4,6,6.3,1089800
PAT,20221018,102,102,97.6,99,13415
PBC,20221018,15.5,15.7,14.9,14.9,47793
PBT,20221018,7.5,7.5,7.5,7.5,100
PCF,20221018,3.4,3.9,3.4,3.9,800
PCM,20221018,13.1,17.7,13.1,15.8,4501
PDC,20221018,4.7,5.7,4.7,5.5,3457
PDV,20221018,8.7,9.9,8.7,9.9,2102
PFL,20221018,5.2,5.7,5.2,5.5,896165
PGB,20221018,24.4,24.4,20.8,21.3,38500
PHP,20221018,14.3,15.5,14.3,15,41000
PLA,20221018,4.8,4.8,4.8,4.8,100
POS,20221018,12.1,12.1,12,12,1500
PPH,20221018,28.4,28.4,25.3,25.3,1100
PPT,20221018,22,22,21.7,21.9,31200
PRO,20221018,7,7,7,7,500
PSB,20221018,7.5,7.5,6.4,7,300
PSP,20221018,8.4,8.4,7.8,7.8,3000
PTO,20221018,17.5,17.5,17.5,17.5,500
PTT,20221018,8.1,8.1,8.1,8.1,11100
PTV,20221018,6.9,7.1,6.4,6.8,11200
PVM,20221018,12,12.1,12,12.1,5800
PVO,20221018,7.6,7.6,7.3,7.3,3310
PVP,20221018,11.3,11.7,11.3,11.4,282900
PWA,20221018,4.7,5,4.7,5,1120
PWS,20221018,14,14,13,13,1200
PXI,20221018,3.2,3.4,3.2,3.3,155400
PXL,20221018,7.2,7.4,7.1,7.3,199039
PXS,20221018,5,5.3,5,5.2,309578
PXT,20221018,3.9,4.1,3.9,4,152500
QLT,20221018,16.4,16.4,16.4,16.4,100
QNC,20221018,5.6,6,5.5,6,4900
QNS,20221018,43,43.4,42.8,43.4,118521
QNT,20221018,3.8,4.4,3.8,4.4,200
QTP,20221018,14.4,14.7,14.4,14.6,334651
RCC,20221018,40,40,40,40,1
RGC,20221018,16,16.9,16,16,9600
RIC,20221018,9,9,8.7,8.7,3300
RTB,20221018,26.5,26.5,24,26,13101
S74,20221018,9,9,9,9,60
SAC,20221018,8.2,8.2,8.2,8.2,300
SAS,20221018,24,24.5,23.9,23.9,3500
SBD,20221018,11,11,11,11,200
SBH,20221018,39.9,39.9,39.9,39.9,100
SBS,20221018,6.3,6.3,6.1,6.1,490141
SCC,20221018,3.1,3.1,2.9,2.9,800
SCJ,20221018,3.1,3.2,3.1,3.1,6400
SCL,20221018,11.3,11.3,11,11,5092
SD2,20221018,5.2,5.2,4.8,4.8,650
SD3,20221018,3.8,3.9,3.6,3.8,47500
SDD,20221018,3.2,3.3,3.1,3.1,95200
SEA,20221018,25,25.4,23.6,25.1,4010
SGB,20221018,12,12.4,12,12.2,1601
SGI,20221018,23.5,23.5,23.5,23.5,241
SGP,20221018,15.2,15.5,15.1,15.2,60000
SGS,20221018,12.6,12.6,12.6,12.6,800
SID,20221018,11.4,11.4,9.8,10.5,30000
SIG,20221018,9.9,9.9,9.9,9.9,200
SIP,20221018,113,114.9,112.7,113.5,123040
SIV,20221018,46,46,46,46,101
SJG,20221018,15.8,15.8,15.6,15.7,1100
SJM,20221018,8.4,8.4,8.4,8.4,1
SKN,20221018,9.8,9.8,9.8,9.8,202
SKV,20221018,25.5,25.5,24.7,24.8,6750
SNZ,20221018,29.3,29.3,28.7,28.7,200
SRB,20221018,2.4,2.4,2.3,2.3,25500
SRT,20221018,5.3,5.3,5.3,5.3,100
SSH,20221018,73.1,74,72.1,72.4,428324
SSN,20221018,4.9,5.2,4.9,5.2,11500
STH,20221018,6.9,7,6.7,6.7,42800
SWC,20221018,22.1,23.4,22,23.2,29500
SZE,20221018,14.3,14.4,12.6,12.9,8700
SZG,20221018,29.9,35.2,29.9,35.2,200
TBR,20221018,7.2,7.3,7.2,7.3,1200
TCI,20221018,8.1,8.3,8.1,8.2,96128
TCW,20221018,25.5,25.5,24.4,24.4,310
THP,20221018,11.4,11.4,11.4,11.4,100
THW,20221018,25.7,25.7,25.7,25.7,100
TID,20221018,38.7,38.9,38.6,38.6,1600
TIE,20221018,4.1,4.1,4.1,4.1,100
TIN,20221018,14.9,15.4,14.9,14.9,4600
TIS,20221018,6.4,6.4,6,6.3,6300
TL4,20221018,9.6,10,8.5,8.5,41241
TLP,20221018,8.2,8.2,8.1,8.1,800
TNS,20221018,3.6,3.7,3.6,3.6,40100
TS3,20221018,4.2,4.2,4.2,4.2,4900
TTD,20221018,48.9,52,48.9,48.9,600
TTG,20221018,6.2,6.2,6.2,6.2,1200
TTN,20221018,9.6,9.6,9.5,9.5,3800
TV1,20221018,11.8,11.8,11.8,11.8,1700
TV6,20221018,3.6,3.6,2.8,3.2,22000
TVN,20221018,6.4,6.6,6.3,6.4,86501
UDJ,20221018,10.8,11.1,10.7,11,43400
USD,20221018,13,13,13,13,2000
VAB,20221018,8.3,8.5,8.3,8.4,66609
VBB,20221018,8.9,9.6,8.9,9.4,38572
VCP,20221018,21.7,23.5,21.7,23,3410
VCR,20221018,25.2,25.5,24.6,25,27100
VCW,20221018,45,45,45,45,100
VE9,20221018,2.3,2.3,2.2,2.2,29900
VEA,20221018,43.7,44,43.3,43.5,677580
VEC,20221018,11.5,12,11.5,11.5,9700
VEF,20221018,82.6,84.9,82.5,84,2801
VET,20221018,60.6,60.6,60.3,60.3,300
VFC,20221018,44.1,44.1,32.8,32.8,700
VFR,20221018,6.5,6.5,6.5,6.5,100
VFS,20221018,17.9,18.5,17.9,18,116000
VGG,20221018,37.9,37.9,37.9,37.9,100
VGI,20221018,26.6,27.5,26.6,26.9,406914
VGT,20221018,14.8,15.3,14.8,15.3,454400
VGV,20221018,9.3,9.3,9.3,9.3,2000
VHD,20221018,12,12,12,12,600
VHG,20221018,2.6,2.7,2.6,2.7,1268275
VLB,20221018,33.5,34,33,33.2,4500
VLC,20221018,17,17.8,17,17.3,126401
VLG,20221018,5.2,5.3,5.2,5.2,1300
VMG,20221018,4.6,4.6,4.6,4.6,3200
VNA,20221018,35.1,37.8,35.1,37.8,9200
VNB,20221018,10,10,9.7,10,28100
VNH,20221018,2.5,2.6,2.5,2.5,13690
VNP,20221018,15.5,15.5,14.5,14.5,300
VNX,20221018,36.1,48.3,36.1,48.3,200
VNY,20221018,3.7,3.7,3.7,3.7,3000
VOC,20221018,14.8,15,14.7,14.8,61600
VPA,20221018,3.5,3.5,3.5,3.5,110
VQC,20221018,18,18,18,18,500
VSE,20221018,8,8,7.5,7.7,35100
VTA,20221018,5.1,5.3,5.1,5.3,11332
VTD,20221018,12.1,12.2,12,12.1,21300
VTK,20221018,33.8,33.8,33.8,33.8,500
VTP,20221018,47.9,49,47.9,48.8,81136
VTS,20221018,29,29,29,29,4
VTX,20221018,19,19,19,19,3800
VUA,20221018,44.4,45,44.4,44.7,128200
VVS,20221018,22.8,22.8,22.8,22.8,100
VW3,20221018,10.6,12.3,10.6,11.2,6600
WSB,20221018,48.5,48.5,48.4,48.5,1800
WTC,20221018,12,12.1,12,12.1,400
XLV,20221018,8,8,8,8,100
XMC,20221018,7.4,7.7,7.3,7.6,11294
XMD,20221018,8.9,8.9,8.3,8.6,2700
YBC,20221018,9.1,9.1,9.1,9.1,54
