<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNAll-INDEX,20221024,986.03,987.94,939.27,968.27,122336800
AAA,20221024,7.61,7.8,7.05,7.05,2917600
AAM,20221024,11.3,11.3,10.65,11.1,4600
AAT,20221024,7,7.2,6.75,6.8,1253300
ABS,20221024,9.06,9.07,8.37,8.37,267800
ABT,20221024,31.6,31.6,31.55,31.55,200
ACB,20221024,20.45,20.5,19.2,19.5,2797800
ACC,20221024,15.9,16,15.5,15.8,57500
ACG,20221024,54.1,54.1,50.5,50.9,36500
ACL,20221024,13.1,13.1,12.1,12.5,77000
ADG,20221024,38,38,37,37,1300
ADS,20221024,12.6,12.6,11.75,11.75,369800
AGG,20221024,34.1,36,33.7,36,327700
AGM,20221024,13.85,14.5,13,13.95,10600
AGR,20221024,7.74,7.8,7.17,7.17,466400
AMD,20221024,1.23,1.41,1.23,1.23,2090400
ANV,20221024,31.4,31.5,29.55,29.55,764800
APC,20221024,14,14,13.6,14,10300
APG,20221024,4.46,4.51,4.2,4.2,923100
APH,20221024,8.57,8.61,7.94,7.97,1257000
ASG,20221024,26.3,26.3,26.1,26.1,200
ASM,20221024,10.7,10.9,9.96,9.96,3445100
ASP,20221024,5.91,6.27,5.52,5.52,53700
AST,20221024,54,54,51,52.2,21000
BAF,20221024,25.15,25.75,24.8,25.7,2573400
BBC,20221024,53.1,55,53.1,54.4,300
BCE,20221024,6.6,6.6,6.21,6.23,63400
BCG,20221024,9,9.02,8.4,8.4,3190700
BCM,20221024,83.6,83.6,80.5,82,76700
BFC,20221024,17,17.4,15.95,16.1,276200
BHN,20221024,47.1,47.1,46.1,46.1,1300
BIC,20221024,26,26,22.8,25.4,20700
BID,20221024,32.95,32.95,30.35,30.35,1374200
BKG,20221024,4.75,4.77,4.41,4.41,64000
BMC,20221024,14.3,15.1,13.6,13.9,27300
BMI,20221024,22.95,23,21.4,22,452500
BMP,20221024,61.2,61.2,56.8,59.8,49600
BRC,20221024,12,12,12,12,100
BSI,20221024,19.5,20.4,18.8,18.8,320000
BTP,20221024,14.7,14.7,14.2,14.6,7800
BTT,20221024,40.55,40.55,40.55,40.55,2000
BVH,20221024,49,49.1,47.4,47.9,788600
BWE,20221024,43.5,43.5,41.7,41.7,129400
C32,20221024,20.8,21.15,20.7,20.75,48600
C47,20221024,8.99,9.03,8.37,8.6,156500
CACB2204,20221024,0.01,0.03,0.01,0.01,328200
CACB2205,20221024,0.31,0.31,0.2,0.2,61400
CACB2206,20221024,0.23,0.23,0.14,0.15,98500
CACB2207,20221024,0.33,0.33,0.24,0.26,96500
CCI,20221024,29.95,29.95,27.05,27.05,1400
CCL,20221024,6.3,6.35,5.79,5.79,189700
CDC,20221024,18.45,18.5,18.1,18.2,146300
CFPT2204,20221024,0.18,0.19,0.12,0.13,217700
CFPT2205,20221024,0.11,0.12,0.08,0.1,43900
CFPT2206,20221024,0.45,0.45,0.32,0.33,39800
CFPT2207,20221024,1.45,1.48,1.18,1.2,198900
CFPT2208,20221024,0.82,0.82,0.61,0.62,68000
CFPT2209,20221024,0.61,0.62,0.52,0.54,72100
CFPT2210,20221024,1.06,1.06,0.92,0.96,24600
CFPT2211,20221024,0.59,0.59,0.48,0.48,41700
CHDB2206,20221024,0.05,0.05,0.03,0.04,24400
CHDB2207,20221024,0.22,0.22,0.2,0.21,6100
CHDB2208,20221024,0.44,0.44,0.44,0.44,1100
CHDB2210,20221024,0.2,0.2,0.17,0.17,477900
CHP,20221024,24.85,25,24.3,24.3,25800
CHPG2212,20221024,0.03,0.03,0.02,0.03,268500
CHPG2213,20221024,0.01,0.01,0.01,0.01,1100
CHPG2214,20221024,0.04,0.05,0.03,0.05,3800
CHPG2215,20221024,0.17,0.18,0.15,0.16,904500
CHPG2216,20221024,0.51,0.51,0.39,0.43,401600
CHPG2217,20221024,0.14,0.14,0.1,0.12,63900
CHPG2218,20221024,0.04,0.04,0.03,0.03,217400
CHPG2219,20221024,0.16,0.16,0.13,0.14,36900
CHPG2220,20221024,0.1,0.1,0.05,0.06,1456700
CHPG2221,20221024,0.13,0.13,0.1,0.12,3875500
CHPG2223,20221024,0.5,0.5,0.41,0.46,324800
CHPG2224,20221024,0.42,0.42,0.42,0.42,100
CIG,20221024,5,5,4.57,4.57,72300
CII,20221024,16.3,16.6,15.3,15.3,5551100
CKDH2207,20221024,0.01,0.01,0.01,0.01,3300
CKDH2208,20221024,0.06,0.06,0.04,0.04,3400
CKDH2209,20221024,0.13,0.13,0.09,0.09,36800
CKDH2210,20221024,0.05,0.05,0.02,0.03,497500
CKDH2212,20221024,0.06,0.09,0.04,0.09,105100
CKDH2213,20221024,0.04,0.04,0.02,0.03,288000
CKG,20221024,23.4,24,21.8,21.8,477900
CLC,20221024,35,35,34,34.95,10700
CLL,20221024,25,25,24.05,24.3,27300
CMBB2205,20221024,0.01,0.01,0.01,0.01,2300
CMBB2207,20221024,0.13,0.2,0.08,0.08,53200
CMBB2208,20221024,0.07,0.12,0.07,0.09,130600
CMBB2209,20221024,0.04,0.04,0.02,0.03,3859100
CMBB2210,20221024,0.17,0.17,0.12,0.12,279000
CMBB2211,20221024,0.21,0.22,0.17,0.18,395100
CMBB2212,20221024,0.7,0.7,0.66,0.66,25900
CMG,20221024,40.5,40.5,37.5,38,125000
CMSN2205,20221024,0.04,0.04,0.04,0.04,15100
CMSN2206,20221024,0.03,0.03,0.02,0.03,162700
CMSN2207,20221024,0.05,0.06,0.03,0.06,342100
CMSN2209,20221024,0.14,0.14,0.1,0.11,1192900
