<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MSN,20221021,81,81,74.8,74.8,1651200
MWG,20221021,58.3,58.3,54.4,54.4,4238200
NAF,20221021,10.8,10.9,9.96,9.97,74800
NBB,20221021,17,17.2,16,16,772700
NCT,20221021,89.9,90,89,90,3500
NHA,20221021,16.1,16.45,15.5,15.5,279600
NHH,20221021,12.6,12.7,11.65,11.65,211100
NHT,20221021,18.35,18.35,18.35,18.35,100
NKG,20221021,17.1,17.1,15.85,15.85,9339100
NLG,20221021,26.05,26.1,24.5,24.6,3235000
NNC,20221021,17.5,17.5,16.2,16.2,22400
NSC,20221021,75.6,75.6,74,74,10000
NT2,20221021,25.8,26.35,25.3,25.5,1741600
NTL,20221021,21.2,21.2,19.75,19.75,676000
NVL,20221021,75,75,73,75,1945200
NVT,20221021,9.11,9.13,8.84,8.84,13500
OCB,20221021,13.5,13.5,12.7,13.4,1077000
OGC,20221021,10,10.75,10,10,673000
OPC,20221021,22.8,23.25,22.75,23.25,26900
ORS,20221021,9.5,9.62,8.81,8.81,1246400
PAC,20221021,30.75,30.9,30.7,30.9,3500
PAN,20221021,19.2,19.2,17.9,17.9,2414100
PC1,20221021,28.65,28.65,26.25,26.25,1629200
PDN,20221021,142,142,123.7,123.7,1800
PDR,20221021,48.8,49,47.5,48.7,1263600
PET,20221021,28.9,29.45,27.05,27.05,966200
PGC,20221021,17.95,18,17.35,17.35,19500
PGD,20221021,28.25,29,28.25,28.8,4200
PGI,20221021,27,27,27,27,300
PGV,20221021,21.4,22.4,20.5,21,11300
PHC,20221021,6.45,6.45,6.1,6.3,117200
PHR,20221021,46.7,46.7,43.6,43.6,726200
PIT,20221021,3.97,3.97,3.7,3.7,3900
PJT,20221021,9.39,9.39,9,9,200
PLP,20221021,5.7,5.7,5.37,5.37,415800
PLX,20221021,33.7,33.7,31.5,31.5,1845900
PMG,20221021,11.2,11.2,10.2,10.2,200
PNJ,20221021,108.4,108.4,102,104.7,417500
POM,20221021,5,5,4.7,4.7,67200
POW,20221021,10.9,10.9,10.15,10.3,11890400
PPC,20221021,15.4,15.75,14.85,15.1,108200
PSH,20221021,6.91,6.97,6.43,6.49,172700
PTB,20221021,53,53.1,50.4,52.5,562300
PTC,20221021,7.62,7.62,6.89,6.89,221000
PTL,20221021,4.9,5,4.59,4.6,276500
PVD,20221021,21.5,22.2,19.95,19.95,23900900
PVT,20221021,19,19.05,17.5,17.5,2632800
QBS,20221021,2.42,2.42,2.26,2.26,511200
QCG,20221021,6.1,6.1,5.68,5.7,145100
RAL,20221021,81.5,81.7,75.9,75.9,78900
RDP,20221021,7.46,7.46,7.45,7.45,3300
REE,20221021,81,81.6,76.2,79,716500
SAB,20221021,191.5,195,189.4,193,177500
SAM,20221021,9.6,9.65,9.01,9.65,1621700
SAV,20221021,16,16,15.3,15.7,900
SBA,20221021,24.7,25,24.15,24.7,84000
SBT,20221021,14.3,14.3,13.3,14.05,1694400
SBV,20221021,12.3,12.4,11.7,12.3,9500
SCD,20221021,17.7,17.95,17.7,17.95,3500
SCR,20221021,7.51,7.6,6.98,6.98,3566900
SCS,20221021,74.2,74.4,72.5,72.5,22100
SFC,20221021,23.4,23.4,22.25,22.25,200
SFG,20221021,10.2,10.65,10.2,10.5,9800
SFI,20221021,34.9,36.5,34.6,35,8600
SGN,20221021,67.8,67.9,65,65,1100
SGR,20221021,17.2,17.25,16.15,16.15,33800
SGT,20221021,12.5,12.5,11.7,11.7,47900
SHA,20221021,4.73,4.91,4.61,4.79,62400
SHB,20221021,10.9,11.1,10.15,10.25,12312500
SHI,20221021,14.7,15,14.45,15,523600
SHP,20221021,27.5,27.7,27.5,27.5,4300
SII,20221021,13.05,14.15,12.9,14.15,4500
SJD,20221021,16.4,16.5,16,16,53400
SJF,20221021,4.75,4.75,4.38,4.38,324700
SJS,20221021,64.4,64.5,62.1,63.8,11800
SKG,20221021,16.05,16.15,15,15.1,535600
SMA,20221021,7.04,7.04,7.04,7.04,100
SMB,20221021,41.1,41.45,41,41.45,29700
SMC,20221021,14,14,13.05,13.1,167600
SPM,20221021,14.8,15.8,14.8,15.8,200
SRC,20221021,19.5,19.5,18.3,18.3,30400
SSB,20221021,29.3,29.5,28.3,28.8,1030000
SSI,20221021,17.4,17.45,16.2,16.2,28076400
ST8,20221021,11.5,11.5,10.7,10.7,11000
STB,20221021,17.1,17.25,15.95,15.95,22530300
STG,20221021,36,36.1,36,36,5000
STK,20221021,33.5,35.5,32.1,32.1,3100
SVD,20221021,3.92,4.05,3.9,4,20300
SVI,20221021,62,62,62,62,100
SVT,20221021,11.5,11.95,11.45,11.45,800
SZC,20221021,34,34,31.65,31.65,928800
SZL,20221021,50,50,48.7,48.7,5900
TBC,20221021,31,31.2,31,31,19800
TCB,20221021,24.85,24.85,22.9,22.9,9633400
TCD,20221021,8.85,8.85,8.11,8.11,603000
TCH,20221021,9.8,9.8,9.05,9.05,4515900
TCL,20221021,32.7,32.85,32.1,32.3,61600
TCM,20221021,43.8,43.9,41.15,43,532200
TCO,20221021,9.4,9.4,9,9.38,18100
TCR,20221021,3,3.03,2.91,3,11800
TCT,20221021,32.8,33.6,32.7,32.7,6100
TDC,20221021,17,17.4,16.45,16.45,440900
TDG,20221021,4.45,4.7,4.14,4.14,156200
TDH,20221021,3.9,3.9,3.68,3.68,91400
TDM,20221021,33.3,33.3,32.7,32.7,78000
TDP,20221021,28.6,28.6,27,27,38300
TEG,20221021,8.56,8.6,7.97,7.97,326200
TGG,20221021,3.5,3.5,3.07,3.07,664000
THG,20221021,42.2,42.2,40,41,69100
TIP,20221021,19.6,19.7,18.25,18.85,110700
TIX,20221021,30.5,30.6,30.5,30.6,29900
TLD,20221021,4.9,4.9,4.56,4.56,194700
TLG,20221021,56.6,56.7,52.9,52.9,1451400
TLH,20221021,7.96,7.96,7.35,7.35,244800
TMP,20221021,50.9,51.9,49.6,50.1,12700
TMS,20221021,68.6,69,67.7,69,10300
TMT,20221021,13.05,13.05,12.65,12.65,35000
TN1,20221021,23,23,22,22,2900
TNA,20221021,9.1,9.2,8.7,9.04,85000
TNC,20221021,56.1,56.1,56,56,7000
TNH,20221021,31.15,31.9,29.45,29.45,169600
TNI,20221021,3.36,3.36,3.04,3.04,220900
TNT,20221021,4.17,4.17,3.88,3.88,282300
