<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20221021,5.9,5.9,5.4,5.7,206438
ADC,20221021,19.1,19.1,19.1,19.1,278
AME,20221021,10.7,10.7,10.7,10.7,7300
AMV,20221021,5,5.1,4.5,4.5,1407676
API,20221021,12.1,12.1,10.9,10.9,279390
APS,20221021,9.5,9.6,8.6,8.6,959422
ART,20221021,1.7,1.8,1.7,1.7,734438
BAB,20221021,14.2,14.4,13.9,14.1,7871
BAX,20221021,74,74,74,74,100
BBS,20221021,10,10,10,10,614
BCC,20221021,9.7,9.7,8.8,8.8,380386
BCF,20221021,37.9,38,37,37,5100
BDB,20221021,6.5,6.5,6.5,6.5,100
BII,20221021,2.4,2.5,2.2,2.2,1064052
BKC,20221021,7.8,7.8,7.8,7.8,500
BNA,20221021,20.1,20.2,18.8,19.4,122862
BTS,20221021,6.2,6.3,5.6,6.2,49900
BVS,20221021,17.6,17.6,16.1,16.1,392710
C69,20221021,9.1,9.3,9,9.2,24900
CAG,20221021,8.2,8.4,7.9,8.4,6000
CAP,20221021,85,88.1,84.5,86.4,20903
CCR,20221021,13.5,13.5,12.2,13.3,1000
CDN,20221021,25,25,25,25,1000
CEO,20221021,16.3,16.4,14.7,14.7,5780374
CET,20221021,3.7,3.9,3.7,3.8,900
CIA,20221021,10.4,10.4,9.1,10,8600
CLH,20221021,30.6,31.3,30.6,31.3,2101
CLM,20221021,82,82,82,82,1500
CMC,20221021,6.8,6.8,6.8,6.8,100
CMS,20221021,11.5,11.6,10.1,10.5,28475
CPC,20221021,15.5,15.5,15.5,15.5,3070
CSC,20221021,50,50,44.7,44.7,117519
CTC,20221021,2.6,2.6,2.4,2.5,104950
CTP,20221021,4.3,4.3,4,4.3,10910
CVN,20221021,3.9,3.9,3.7,3.7,142826
D11,20221021,11.7,13.3,11.6,12.5,2710
DAE,20221021,19.8,19.8,19.8,19.8,64
DC2,20221021,7.5,7.5,7,7,2400
DDG,20221021,41.1,41.3,40.5,41.3,411900
DHP,20221021,11.5,11.5,11.5,11.5,1000
DHT,20221021,39.2,39.5,39,39.3,15212
DIH,20221021,28.6,32.2,27.8,30.9,11200
DL1,20221021,4,4,3.6,3.7,326179
DNM,20221021,18.9,18.9,18.9,18.9,100
DNP,20221021,24,24,24,24,3100
DP3,20221021,90,90,90,90,2002
DS3,20221021,3.7,3.9,3.6,3.6,129000
