<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DST,20221021,5.1,5.1,4.7,4.7,209100
DTC,20221021,6.9,7.5,6.9,7.5,2112
DTD,20221021,14.7,14.8,13.2,13.6,225960
DTK,20221021,8.9,8.9,8.9,8.9,1800
DVG,20221021,4,4,3.6,3.6,445521
DVM,20221021,14.3,14.7,13.3,14.4,115000
DXP,20221021,10.6,10.6,10,10.4,73400
DZM,20221021,4.5,4.9,4.5,4.9,1600
EBS,20221021,10,10,10,10,100
EID,20221021,19.3,20.5,19,20.5,2803
EVS,20221021,13.6,14,12.8,13.5,378400
FID,20221021,2.3,2.4,2.2,2.3,252500
GIC,20221021,16,16,13.8,13.8,2300
GKM,20221021,34,34.2,33.6,34,137900
GMX,20221021,18.9,19.2,18.4,18.5,16900
HAD,20221021,16,16,16,16,900
HAT,20221021,21.6,23,21.6,23,13700
HBS,20221021,5.5,5.5,5,5.5,82400
HCC,20221021,10,10,10,10,100
HDA,20221021,8.3,8.4,8,8,142700
HGM,20221021,42,42,42,42,1000
HHC,20221021,87.8,87.8,87.8,87.8,10
HHG,20221021,2.3,2.3,2.1,2.1,219726
HJS,20221021,33.9,33.9,33.9,33.9,132
HKT,20221021,6,6,6,6,100
HLC,20221021,11.7,11.7,10.9,10.9,1003
HLD,20221021,34,34.8,31.9,34.8,24100
HMH,20221021,11.8,11.8,11.2,11.2,15205
HMR,20221021,8,8,8,8,4900
HOM,20221021,6.5,6.5,6.2,6.2,44500
HTP,20221021,47,47.4,45.8,47.2,265500
HUT,20221021,20.2,20.2,18,18,3842899
HVT,20221021,51.9,52,51,51,2003
ICG,20221021,6.9,7.8,6.8,7.8,11700
IDC,20221021,46.8,47.3,43,43.5,5724066
IDJ,20221021,9.7,9.8,8.8,8.8,2150058
IDV,20221021,37,37.4,36.6,37.4,2830
INN,20221021,39,39,39,39,4400
IPA,20221021,12.5,12.5,11.3,11.3,456031
ITQ,20221021,3.2,3.2,2.9,3,219000
IVS,20221021,6,6,5.6,5.7,22500
KHS,20221021,14.2,14.2,14.2,14.2,100
KKC,20221021,12.9,12.9,12.9,12.9,100
KLF,20221021,1,1,0.9,0.9,6789921
KSD,20221021,5.8,5.8,5.8,5.8,3000
KSF,20221021,75.2,75.4,74.6,74.6,57300
KSQ,20221021,2.6,2.6,2.3,2.3,82200
KTS,20221021,13.8,13.8,13.8,13.8,1000
KTT,20221021,9.2,9.2,8,9.2,35900
KVC,20221021,2.2,2.2,2,2,615950
L14,20221021,51.5,51.5,46.4,46.4,331790
L18,20221021,30.9,30.9,28.4,28.4,82200
L35,20221021,4.4,4.4,4.4,4.4,100
L40,20221021,20,20,19.9,19.9,1100
L43,20221021,5.4,5.4,5.4,5.4,400
L62,20221021,3.6,3.9,3.6,3.9,11300
LAS,20221021,10,10,9,9,328300
LBE,20221021,42,42,42,42,1800
LDP,20221021,8,8,7.8,7.8,7600
LHC,20221021,52.8,59,52.8,54.1,800
LIG,20221021,4.5,4.5,4.1,4.1,413562
LUT,20221021,2.3,2.3,2.3,2.3,13600
MAC,20221021,8.2,8.5,7.9,7.9,55139
MAS,20221021,33.4,33.4,33.4,33.4,100
MBG,20221021,5.4,5.5,5,5,1003700
MBS,20221021,14.8,14.8,13.4,13.4,2221007
MCF,20221021,7.8,7.8,7.4,7.4,8200
MCO,20221021,3.9,3.9,3.9,3.9,10700
MDC,20221021,8.5,8.5,8.4,8.4,2500
MEL,20221021,9.5,10.2,9.4,10.2,1300
MIM,20221021,5.8,5.8,5.8,5.8,52900
MST,20221021,7.9,7.9,7.2,7.2,757304
MVB,20221021,16.6,16.6,16.6,16.6,100
NAG,20221021,11.3,11.4,11.2,11.2,112698
NBC,20221021,11.4,11.4,10.2,10.2,195380
NDN,20221021,8.1,8.1,7.6,7.6,323550
NDX,20221021,6.4,6.4,6.1,6.1,15027
NET,20221021,45,45,44.5,44.5,450
NRC,20221021,11.5,11.6,10.9,11.5,80685
NSH,20221021,5.6,5.7,5.2,5.4,83600
NST,20221021,6.8,6.8,6.3,6.7,14300
NTP,20221021,37,37,35,35,149023
NVB,20221021,16.3,16.7,15.9,16.7,37900
OCH,20221021,6.6,7,6,6.6,263800
ONE,20221021,6.7,7.2,6.7,7.2,3500
PBP,20221021,17.5,19.2,17.1,18.1,108636
PCE,20221021,19.5,19.6,19.5,19.5,4900
PCG,20221021,6.7,6.7,6.5,6.6,20600
PCH,20221021,6,6,5.2,5.6,38200
PCT,20221021,7.2,7.2,6.9,6.9,26300
PDB,20221021,15.2,15.2,14.4,14.6,3400
PGN,20221021,11.5,11.7,11.5,11.7,2185
PGS,20221021,26.9,26.9,26.1,26.7,7300
PGT,20221021,3.6,3.7,3.4,3.5,637
PIC,20221021,15.7,15.7,15.7,15.7,58
PJC,20221021,23,23,23,23,90
PLC,20221021,22.9,23,20.8,21.1,532441
PMB,20221021,12.5,12.5,11.7,12.5,2000
PMS,20221021,22,22,22,22,200
POT,20221021,24.8,24.8,24,24,2600
PPP,20221021,14,14,13.9,14,7100
PPS,20221021,11.1,11.5,11.1,11.5,200
PPY,20221021,8.2,8.2,8.2,8.2,1000
PRC,20221021,18,18,18,18,1
PSC,20221021,13.4,13.4,13.4,13.4,100
PSD,20221021,20,20,19.2,19.2,23900
PSE,20221021,17.7,17.9,17,17.7,3500
PSI,20221021,6.9,6.9,6.5,6.5,53100
PSW,20221021,10.1,10.1,9.1,9.1,25100
PTI,20221021,33.5,35.8,33.2,35.8,6600
PTS,20221021,10,10,10,10,1200
PV2,20221021,2.6,2.6,2.4,2.5,109300
PVB,20221021,16.9,17.5,15.3,15.3,435900
PVC,20221021,18.3,18.9,16.5,16.6,2832712
PVG,20221021,9.4,9.4,8.1,8.5,331501
PVI,20221021,39.7,40.1,39.3,40.1,47605
PVL,20221021,3.4,3.4,3.1,3.1,589901
PVS,20221021,23.8,24.3,21.8,22,15249918
QHD,20221021,40,40,40,40,20
RCL,20221021,13.8,13.8,13.8,13.8,500
S99,20221021,8.1,8.1,7.3,7.3,320057
SAF,20221021,48.8,48.8,48.8,48.8,10
SCG,20221021,67.4,67.6,67,67,505401
SCI,20221021,9.9,10.1,9.4,9.5,56820
SD5,20221021,8.6,8.6,8.3,8.6,21700
SD6,20221021,3.2,3.3,3.1,3.2,20800
SD9,20221021,7.3,7.5,7,7.2,17300
SDA,20221021,7.7,7.7,7.2,7.4,95000
SDG,20221021,21.9,21.9,21.9,21.9,82
SDN,20221021,39,40,39,40,1400
SDT,20221021,3.7,3.7,3.5,3.5,4400
SDU,20221021,23.7,28.9,23.7,28.9,5700
SEB,20221021,45,45,45,45,8
SED,20221021,18,18,17.9,18,4400
SHE,20221021,10.4,10.4,9.6,10.1,820
SHN,20221021,7.9,7.9,7.2,7.7,3596
SHS,20221021,8.3,8.4,7.6,7.6,16408288
SLS,20221021,140,141,131,137,5210
SMT,20221021,12.3,13,12,13,7400
SPC,20221021,16.9,16.9,16.9,16.9,18
SPI,20221021,4,4,3.6,3.8,17700
SRA,20221021,4.6,4.6,4.2,4.2,230400
SVN,20221021,4.8,5.1,4.6,5.1,11000
SZB,20221021,30,30.5,28.5,28.6,35400
TA9,20221021,15,15,13,14.5,8200
TAR,20221021,17.1,17.6,15.6,15.9,1324350
TC6,20221021,8.5,8.5,7.6,7.7,103400
TDN,20221021,9.1,9.6,8.7,8.7,44301
TDT,20221021,7.8,7.9,7.5,7.7,17483
THD,20221021,41.1,41.2,40.8,40.8,5801
THS,20221021,20.3,20.3,20.3,20.3,30
THT,20221021,10,10.2,9.5,9.6,25001
TIG,20221021,9.5,9.5,8.6,8.6,331887
TJC,20221021,17.1,17.1,17.1,17.1,100
TKC,20221021,5.7,5.8,5.3,5.3,9100
TKG,20221021,13,13.3,13,13.3,10802
TKU,20221021,12,12.7,11.8,12.7,10806
TMB,20221021,22.6,22.6,22,22,5000
TNG,20221021,17.2,17.3,15.6,15.7,2675535
TOT,20221021,11.3,11.3,11.1,11.2,1200
TPP,20221021,10.9,10.9,10.9,10.9,34
TTC,20221021,11.3,11.8,11.3,11.6,7800
TTH,20221021,2.7,2.7,2.4,2.4,479500
TTL,20221021,9.8,10,9.7,9.9,2300
TTZ,20221021,3.4,3.4,3.4,3.4,18200
TV3,20221021,16.6,17.9,16.3,17.8,7500
TV4,20221021,16.2,16.2,15.9,15.9,2427
TVC,20221021,6,6.1,5.5,5.6,765698
TVD,20221021,11.1,11.1,9.9,10,254712
TXM,20221021,3.4,3.9,3.4,3.4,600
UNI,20221021,8.1,8.1,8.1,8.1,3003
V21,20221021,4.7,4.9,4.5,4.9,2900
VBC,20221021,19.6,21.4,18.6,21.4,1600
VC1,20221021,10.5,10.5,9.5,9.5,8928
VC2,20221021,15.7,15.7,14.3,15.3,166520
VC3,20221021,38.5,38.5,37.9,38.3,210301
VC7,20221021,8.5,8.8,7.8,8.2,165333
VC9,20221021,7.8,8.3,7.6,8.3,22000
VCM,20221021,21.6,21.6,18,19.8,1400
VCS,20221021,54.4,54.4,50.4,50.6,124902
VDL,20221021,23,23,23,23,10000
VE1,20221021,3.7,4,3.6,4,800
VE8,20221021,5,5,5,5,500
VGS,20221021,14.4,14.4,12.9,12.9,633108
VHE,20221021,4,4.1,3.9,3.9,23910
VHL,20221021,15.5,17,15.5,17,1200
VIG,20221021,5.1,5.2,4.6,4.6,276201
VKC,20221021,2.2,2.2,2,2,369400
VLA,20221021,65,65,65,65,100
VMC,20221021,9.7,9.7,8.8,9.1,27132
VNF,20221021,12.2,12.5,11.7,12.5,11702
VNR,20221021,23.6,23.6,22.6,22.6,66438
VNT,20221021,73.9,73.9,73.9,73.9,200
VSA,20221021,22.5,22.6,21,21.1,14210
VTH,20221021,10.3,10.3,8.5,8.5,2700
VTJ,20221021,3.3,3.3,3.3,3.3,200
VTV,20221021,6,6.1,5.8,5.9,55800
VTZ,20221021,8.2,8.4,8.2,8.4,208
WSS,20221021,5.8,5.9,5.6,5.9,14600
