<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DAC,20221021,8.5,8.5,8.5,8.5,34
DCR,20221021,7.6,7.6,7,7,200
DCS,20221021,1.1,1.1,1,1,1568500
DCT,20221021,1,1.1,0.9,0.9,66100
DDM,20221021,3.5,3.5,3.4,3.5,1100
DDN,20221021,11.5,11.9,9.7,11,65300
DDV,20221021,13.4,13.8,11.9,12.1,594290
DFF,20221021,15,16.5,13.6,15.1,9800
DGT,20221021,11,11,10.4,10.4,106100
DHB,20221021,11,11.2,11,11.2,8900
DIC,20221021,1.6,1.6,1.5,1.5,283034
DID,20221021,4.3,4.5,3.9,4,27800
DMN,20221021,7.5,7.5,7.5,7.5,100
DNE,20221021,10.2,10.2,10.2,10.2,100
DNT,20221021,55,60,55,60,300
DNW,20221021,26.6,26.6,23.8,25.6,11600
DPH,20221021,50,50,50,50,1800
DPP,20221021,16.5,16.5,16.5,16.5,42
DPS,20221021,0.9,0.9,0.8,0.9,1669449
DRG,20221021,7.9,7.9,7.9,7.9,100
DRI,20221021,6.8,7,6.5,6.6,424006
DSC,20221021,42,44.5,42,44.5,143701
DSG,20221021,4.9,4.9,4.9,4.9,7
DSP,20221021,10.9,10.9,10.9,10.9,300
DTE,20221021,9.8,9.8,9.8,9.8,100
DTG,20221021,25,25,25,25,100
DTI,20221021,5.5,5.9,5.5,5.5,7700
DTP,20221021,45.6,45.7,43,45.7,1119
DVN,20221021,16.9,17.2,16.6,17,16900
DWS,20221021,12,12,12,12,100
E12,20221021,6.3,6.3,6.3,6.3,200
EFI,20221021,1.6,1.6,1.6,1.6,1400
EIC,20221021,22.6,22.6,22.6,22.6,500
EIN,20221021,4.5,4.9,4.3,4.9,145725
EMS,20221021,23,23.5,23,23.5,1610
FHS,20221021,21.9,24.9,21.9,24.9,700
FIC,20221021,19.6,19.6,19.6,19.6,1000
FOC,20221021,116.3,116.3,115.6,116.3,5504
FOX,20221021,61,61.1,59.9,60,6500
FRC,20221021,28.4,28.4,28.4,28.4,100
FT1,20221021,34.2,38,34.2,35.5,300
FTM,20221021,2.2,2.3,1.9,2,819854
G20,20221021,1,1,0.8,0.8,22810
G36,20221021,6.4,6.4,5.9,6.2,533214
GE2,20221021,29.5,29.5,29.3,29.3,600
GEE,20221021,27.3,27.3,26.2,26.5,9700
GGG,20221021,5.6,5.6,5.6,5.6,170
GHC,20221021,27.1,27.1,26.9,27,19482
GTH,20221021,4.3,4.8,4.3,4.8,336
GTT,20221021,0.7,0.8,0.6,0.7,596499
H11,20221021,4.6,4.6,4.6,4.6,900
HAC,20221021,6,6,6,6,2100
HAF,20221021,35.7,35.7,35.7,35.7,100
HAN,20221021,8.8,8.8,8.8,8.8,100
HAV,20221021,2.5,3.1,2.4,3.1,4200
HBH,20221021,8,8,8,8,100
HC3,20221021,35,35,35,35,6900
HD2,20221021,21.8,22,18.7,20,28000
HD6,20221021,22,22,18.3,18.3,128105
HD8,20221021,9.9,9.9,9.9,9.9,100
HDM,20221021,20.5,20.5,19.5,20,9300
HDO,20221021,0.9,0.9,0.7,0.9,20904
HDP,20221021,13.8,13.8,13.8,13.8,5500
HDW,20221021,13,13,13,13,1000
HEJ,20221021,14,14,12,12,2900
HFB,20221021,10,10,10,10,100
HKB,20221021,0.9,1,0.8,0.9,14200
HLA,20221021,0.8,0.8,0.7,0.7,286723
HLG,20221021,5.3,5.3,5.1,5.1,600
HNA,20221021,19.1,19.3,19,19,5470
HND,20221021,14.5,16.1,13.5,13.5,28000
HNF,20221021,20.1,20.1,20,20.1,2200
HNM,20221021,8.2,8.2,7.4,7.8,47300
HPD,20221021,21.2,27.2,21.2,22,1300
HPH,20221021,17,18,17,18,420
HPI,20221021,21.2,21.2,21.2,21.2,200
HPP,20221021,53.8,53.8,53.2,53.2,1900
HPT,20221021,14.8,15.1,13.8,13.8,5000
HRT,20221021,4.9,4.9,4.9,4.9,2600
HSI,20221021,1.4,1.5,1.4,1.4,18800
HSV,20221021,4.8,4.8,4.5,4.7,7670
HTE,20221021,4.7,5,4.6,4.9,5400
HTG,20221021,29.5,31,29,29.4,106140
HTM,20221021,15.7,17,15.7,17,400
HTT,20221021,1.4,1.4,1.2,1.3,125710
HU4,20221021,9.7,9.7,8.8,9.3,48900
HU6,20221021,8,8.2,8,8.2,400
HVA,20221021,6.7,6.8,5.3,6.1,8000
HVG,20221021,2.2,2.2,1.9,2,1732008
ICC,20221021,42.3,42.3,41.8,42,3300
ICF,20221021,2.1,2.1,2,2.1,10800
ICN,20221021,80,88.2,80,88.2,1100
IDP,20221021,146.3,146.3,146.3,146.3,100
IFS,20221021,21.5,21.5,21.5,21.5,500
ILA,20221021,5.3,5.3,5,5.2,24900
ILC,20221021,10,10,10,10,1400
ILS,20221021,16.9,16.9,13,13,1200
ISH,20221021,21,21,20.2,20.2,1200
ITS,20221021,3.7,3.7,3.7,3.7,100
JOS,20221021,1.3,1.3,1.1,1.3,16900
KAC,20221021,18.4,18.4,15.7,15.7,426
KCB,20221021,6.5,6.5,6.4,6.4,2257
KHA,20221021,21,21,21,21,1100
KHD,20221021,7.8,7.8,6.2,6.2,300
KHL,20221021,1.1,1.2,1.1,1.1,13300
KLB,20221021,23.2,23.2,22.5,23.1,1325
KSH,20221021,0.9,1,0.9,0.9,1440380
KSV,20221021,31.5,34.5,31.2,32,4400
L12,20221021,6.5,6.5,5.8,5.8,6000
L44,20221021,0.9,0.9,0.7,0.8,19200
L45,20221021,3.3,4.2,3.3,4.2,200
L63,20221021,7.2,7.2,7.2,7.2,100
LCM,20221021,3.3,3.3,2.9,2.9,346501
LGM,20221021,7.9,7.9,7.9,7.9,500
LKW,20221021,38,38,38,38,1000
LLM,20221021,10.2,10.2,10.2,10.2,4900
LMH,20221021,7.9,8.3,6.9,7.2,773300
LO5,20221021,1.1,1.1,1.1,1.1,15200
LPT,20221021,10.5,10.8,10.3,10.5,56100
LSG,20221021,7.6,8,7.4,7.6,20568
LTC,20221021,1.4,1.4,1.2,1.3,45100
LTG,20221021,31.9,31.9,28.7,28.9,246212
M10,20221021,19,19,18.9,18.9,300
MCH,20221021,73.5,73.8,71.8,72.7,38695
MCM,20221021,37,38,36.4,36.4,7535
MDF,20221021,10.8,10.8,10.8,10.8,101
MEC,20221021,5.5,5.5,5.5,5.5,6600
MFS,20221021,26.7,26.7,26,26,4300
MGC,20221021,4.4,4.4,4.4,4.4,1900
MGG,20221021,36,36,28.3,28.3,1800
MH3,20221021,40.1,40.1,40.1,40.1,1100
MIE,20221021,10.6,10.6,10.6,10.6,100
MKP,20221021,26.1,26.1,26,26,4600
MLS,20221021,15.8,15.8,15.5,15.5,400
MML,20221021,46,46,44.4,45,3001
MPC,20221021,20.7,20.7,18.6,19.4,96320
MPT,20221021,1.1,1.2,1.1,1.1,132101
MSR,20221021,14.7,14.7,13.2,13.7,268350
MTG,20221021,3.5,4.2,3.5,3.5,8360
MTP,20221021,9.9,9.9,9.9,9.9,1
MTV,20221021,19.5,19.5,19.5,19.5,800
MVC,20221021,6.8,6.9,6.3,6.3,28700
MVN,20221021,19.2,21.8,19,21.8,3900
NAB,20221021,9.6,9.6,9.1,9.5,137157
NAS,20221021,31,31,31,31,710
NCS,20221021,20.9,20.9,20,20.9,15700
NDF,20221021,1.6,1.6,1.3,1.3,11800
NDT,20221021,11.4,11.6,11.2,11.2,19800
NED,20221021,6.3,6.3,5.9,6,403100
NGC,20221021,16.6,16.6,16.6,16.6,101
NHP,20221021,1,1,0.9,0.9,226600
NHV,20221021,42.4,43.8,41.8,42.5,3900
NNG,20221021,19.3,19.3,19.3,19.3,100
NOS,20221021,1.4,1.5,1.4,1.5,1500
NS2,20221021,6.6,6.6,6,6,200
NTB,20221021,0.7,0.8,0.6,0.7,202838
NTC,20221021,156.1,159.9,153.1,158.5,13900
NTW,20221021,16,17.9,16,17.9,200
NUE,20221021,11,11,9.5,9.5,3600
NXT,20221021,16.4,16.5,16.1,16.4,16300
ODE,20221021,43.6,43.6,40,40.5,106100
OIL,20221021,10.3,10.4,9.6,9.8,1500018
PAP,20221021,10.8,10.8,10.8,10.8,100
PAS,20221021,6.5,6.6,6,6,681000
PAT,20221021,98,98,88,88,48300
PBC,20221021,14.8,14.9,14,14.3,50774
PCF,20221021,4,4,4,4,60
PCM,20221021,13.1,13.2,13.1,13.2,2900
PCN,20221021,7.2,8.5,7.1,8.5,31109
PDC,20221021,5.3,5.3,4.9,5.1,1600
PDV,20221021,9.8,9.9,9.5,9.5,4100
PFL,20221021,5.2,5.2,4.6,4.8,610098
PGB,20221021,20.8,20.8,17.2,18,48100
PHP,20221021,14.6,15.3,14.6,15.1,42000
PIV,20221021,1.2,1.2,1.2,1.2,138902
PLO,20221021,1.8,1.8,1.8,1.8,1100
PMT,20221021,8.3,8.3,8.3,8.3,100
PNT,20221021,7.9,7.9,7.8,7.9,11630
POS,20221021,12.2,12.8,12.2,12.8,900
POV,20221021,9.2,10.3,9.1,10.2,17000
PPH,20221021,25.1,25.1,24.1,24.5,5800
PPI,20221021,0.9,0.9,0.8,0.8,601504
PPT,20221021,21.8,21.8,21.6,21.8,23500
PRO,20221021,9,9,7.8,7.8,4100
PRT,20221021,12.2,12.3,11,12.3,62500
PSB,20221021,6.4,7,6.4,7,1600
PSG,20221021,2.8,2.8,2.3,2.4,8000
PSN,20221021,14.3,14.3,14.3,14.3,1
PTH,20221021,10.9,10.9,10.9,10.9,36
PTN,20221021,14.4,16.4,12.5,12.5,1501
PTT,20221021,7.1,8.5,7.1,8.2,1500
PTV,20221021,6.5,6.6,6.5,6.6,900
PVA,20221021,1.6,1.7,1.4,1.4,143901
PVE,20221021,2.8,2.8,2.4,2.7,901
PVH,20221021,2.8,2.8,2.3,2.3,1300
PVM,20221021,13.4,13.4,12.2,12.4,23800
PVO,20221021,7,7,6.7,6.7,2500
PVP,20221021,11.2,11.2,10.5,10.6,112400
PVR,20221021,1.9,2,1.8,1.8,128140
PVV,20221021,4.3,4.9,3.7,4.9,426400
PVX,20221021,3.3,3.7,3.3,3.4,4796712
PVY,20221021,1.2,1.2,1.1,1.2,15173
PXA,20221021,1.3,1.3,1.2,1.2,44200
PXI,20221021,3.2,3.2,2.8,2.9,188300
PXL,20221021,7,7.1,6.3,6.5,285830
PXM,20221021,1.1,1.1,0.9,1,158500
PXS,20221021,5.1,5.1,4.4,4.5,674321
PXT,20221021,4,4,3.6,3.7,118400
QLT,20221021,17,18,17,18,400
QNC,20221021,5.4,5.6,5.4,5.6,500
QNS,20221021,43.8,44,43,43.3,135375
QTP,20221021,14.5,14.6,13.9,14.1,424950
RCD,20221021,2.6,2.6,2.5,2.5,300
RGC,20221021,16.1,16.2,15.8,15.9,13900
RIC,20221021,8.5,8.5,8,8.5,3502
RTB,20221021,24,24,24,24,673
S12,20221021,2.3,2.3,2.3,2.3,100
S27,20221021,3.4,3.4,3.4,3.4,5700
S96,20221021,0.9,1,0.8,0.8,20900
SAC,20221021,8.1,8.1,7.2,7.2,11100
SAS,20221021,26.1,26.1,24.2,24.2,4000
SB1,20221021,6.4,6.4,6.4,6.4,100
SBD,20221021,8,8,8,8,100
SBS,20221021,5.8,5.8,5.1,5.2,2155219
SCJ,20221021,3.2,3.2,2.8,2.9,33700
SCL,20221021,11.3,11.3,10,11,69100
SD1,20221021,1.6,1.6,1.2,1.2,1900
SD2,20221021,4.9,4.9,4.8,4.8,11066
SD3,20221021,3.6,3.6,3.4,3.4,17800
SD7,20221021,4.5,4.5,4.5,4.5,3000
SD8,20221021,1.6,1.9,1.6,1.7,600
SDB,20221021,1.6,1.6,1.2,1.2,200
SDD,20221021,3.1,3.1,2.7,2.8,94391
SDJ,20221021,5.6,5.6,5.6,5.6,100
SDP,20221021,1.2,1.3,1.2,1.2,95701
SDX,20221021,3.7,3.7,3.7,3.7,100
SDY,20221021,2.1,2.1,2,2.1,9200
SEA,20221021,22,22.2,22,22,4000
SGB,20221021,12.5,14.4,11.6,13.5,91900
SGO,20221021,0.6,0.7,0.6,0.7,163300
SGP,20221021,14.5,14.7,13.8,14,78900
SGS,20221021,13,13,12.6,12.6,900
SHG,20221021,2,2.3,2,2.3,600
SID,20221021,9.8,10,9.5,9.5,6500
SIG,20221021,8.5,8.5,8.2,8.3,6800
SIP,20221021,123,128,114.5,115,298400
SJC,20221021,5.2,5.2,4.2,5.2,337327
SJG,20221021,13.9,13.9,13.6,13.6,6300
SKH,20221021,24.6,24.6,24.5,24.6,8500
SKN,20221021,8,9.4,8,8,1400
SKV,20221021,24.9,25.5,24.9,25.5,29305
SNZ,20221021,29,29,27,27,2600
SP2,20221021,15,15,15,15,18400
SPP,20221021,0.9,0.9,0.7,0.8,34150
SRB,20221021,2.1,2.1,1.9,2.1,3900
SRT,20221021,4.6,5.1,4.6,4.6,3600
SSF,20221021,6.3,8.3,6.3,8.3,600
SSH,20221021,73.1,73.1,70,70.6,405000
SSN,20221021,5,5,4.1,4.1,114300
STH,20221021,6.8,6.8,6.5,6.7,32300
STL,20221021,1.5,1.5,1.5,1.5,1200
STT,20221021,1.6,1.6,1.6,1.6,11230
SWC,20221021,22.6,22.9,22.2,22.7,3600
SZE,20221021,12.6,13.5,12.6,13.5,900
SZG,20221021,31.2,35.1,31.2,35.1,13800
TBH,20221021,10.6,10.6,10.6,10.6,2402
TBR,20221021,7,7,6.8,6.8,14100
TCI,20221021,7.8,7.8,7,7.1,243999
TCW,20221021,23.5,23.7,23.5,23.5,3900
TED,20221021,29.1,29.1,28,28,300
THP,20221021,12.2,12.2,12.2,12.2,100
THW,20221021,29.4,29.4,29.4,29.4,100
TID,20221021,35.5,35.5,32,33.5,14301
TIE,20221021,3.3,3.3,3.2,3.2,2070
TIN,20221021,14.7,14.7,14.2,14.6,4100
TIS,20221021,6,6,5.5,5.7,30200
TL4,20221021,8.5,8.5,7.2,7.2,37510
TLP,20221021,8.1,8.1,8.1,8.1,600
TMG,20221021,52.9,52.9,52.9,52.9,100
TNB,20221021,14.5,19.4,14.5,19.4,1217
TNM,20221021,4.6,4.6,4,4,450
TNS,20221021,3.8,3.8,3.3,3.3,12700
TOP,20221021,1.8,1.8,1.6,1.6,71200
TS4,20221021,2.2,2.2,2,2.1,7903
TTG,20221021,7,7,7,7,600
TTN,20221021,9.3,9.5,8.9,9,21600
TUG,20221021,19.5,19.5,19.5,19.5,100
TV6,20221021,3.1,3.2,2.6,3.2,7400
TVN,20221021,6.3,6.3,5.9,6,256200
UDJ,20221021,10.5,10.5,10,10.3,37602
UDL,20221021,15.5,15.5,15.5,15.5,1600
V11,20221021,0.8,0.9,0.7,0.7,46400
V15,20221021,0.7,0.7,0.6,0.7,71972
VAB,20221021,8.2,8.3,7.9,8.2,177544
VAT,20221021,1.1,1.2,1.1,1.2,90500
VBB,20221021,9.3,9.6,9,9.4,30200
VC5,20221021,1.1,1.1,1.1,1.1,700
VCP,20221021,23,23,23,23,100
VCR,20221021,25,25.1,24.5,25.1,60100
VCX,20221021,5.8,5.8,5.8,5.8,100
VE9,20221021,2.1,2.2,2.1,2.2,14500
VEA,20221021,44.9,44.9,43.2,43.5,268476
VEC,20221021,10.3,11.8,10.3,11.8,4700
VEF,20221021,82.6,82.6,80,80,700
VFC,20221021,46.5,46.5,46.5,46.5,3000
VFR,20221021,6.4,6.4,6.4,6.4,100
VFS,20221021,17.8,17.8,17.1,17.1,35637
VGG,20221021,37.7,37.7,35,36.9,2301
VGI,20221021,26.5,27.5,24.5,24.6,1016170
VGT,20221021,15.2,15.2,14,14.1,501537
VGV,20221021,10.6,10.6,10.6,10.6,700
VHG,20221021,2.5,2.6,2.2,2.3,1526076
VIE,20221021,8,8,8,8,600
VLB,20221021,33,33,32.1,32.4,16400
VLC,20221021,16.8,17,15.8,16.1,178519
VLF,20221021,1.4,1.4,1.2,1.3,36100
VLG,20221021,4.8,4.8,4.1,4.8,2600
VNA,20221021,35.2,36,35.2,36,2328
VNB,20221021,11,11,9.1,9.1,50900
VNH,20221021,2.5,2.5,2.4,2.4,7600
VNP,20221021,13.6,13.6,13.6,13.6,2400
VOC,20221021,14.8,14.8,14.1,14.1,40100
VPA,20221021,3.4,3.4,3,3,5742
VPC,20221021,5.9,7.4,5.9,7.4,27100
VRG,20221021,28.8,31.5,28.8,31.5,600
VSE,20221021,7.6,7.7,7,7.7,32400
VSF,20221021,5.3,5.3,5,5.2,3601
VSG,20221021,1.5,1.5,1.4,1.4,640
VSN,20221021,25.2,25.2,25.2,25.2,100
VST,20221021,3.9,3.9,3.3,3.6,48100
VTA,20221021,5.3,5.3,4.9,5.3,4600
VTD,20221021,12.1,12.1,11.3,11.5,31000
VTK,20221021,34.8,34.8,34.8,34.8,100
VTP,20221021,43,43,40,40,216659
VTR,20221021,24.2,24.2,22.2,24,4001
VTX,20221021,19.7,19.7,19.7,19.7,500
VUA,20221021,44.6,44.7,43.6,43.7,81900
VVN,20221021,7.1,7.1,7.1,7.1,1
VVS,20221021,21.4,21.5,19.9,21.4,7900
WSB,20221021,48.4,48.5,45.8,48.3,1600
WTC,20221021,11.9,12.2,11.9,12.2,3000
XMC,20221021,7.2,7.4,7,7,10200
XMD,20221021,8.3,8.3,8.2,8.3,2100
XPH,20221021,9,9,8.1,8.1,11360
