<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20221021,14.4,14.4,11.5,11.9,140500
ABB,20221021,8.9,8.9,8.3,8.3,1136587
ABI,20221021,37.5,37.5,35,37.5,11300
ACM,20221021,1,1,0.9,0.9,774540
ACV,20221021,75.3,76.6,73,76.6,67550
ADP,20221021,21.6,21.6,21.5,21.5,600
AFX,20221021,13,13.1,12,12.9,12600
AGF,20221021,2.5,2.5,2.3,2.5,4024
AGP,20221021,20.1,20.1,20,20,5603
AIC,20221021,10,10,9.9,10,2400
AMS,20221021,6.3,7,6.3,6.3,25600
ANT,20221021,10.3,11.4,10.2,10.2,2300
APF,20221021,66.6,66.8,66.5,66.8,4748
APP,20221021,6.1,6.1,6.1,6.1,400
APT,20221021,2.3,2.3,2.3,2.3,200
ATA,20221021,1.6,1.6,1.4,1.4,2311
ATB,20221021,1,1.2,1,1,71606
ATG,20221021,3,3.2,3,3.1,34915
AVC,20221021,42.5,42.5,41.4,41.4,500
AVF,20221021,0.8,0.8,0.7,0.8,490254
B82,20221021,0.9,0.9,0.8,0.8,15900
BAL,20221021,7.6,9,7.5,8.6,2300
BBM,20221021,9,9,9,9,100
BCA,20221021,6.5,6.5,6.4,6.4,28700
BCP,20221021,9.8,9.8,9.5,9.5,2600
BDG,20221021,24.1,26,24.1,25.9,1600
BDT,20221021,47,47,47,47,100
BDW,20221021,17.9,17.9,17.9,17.9,200
BHC,20221021,2.5,2.5,2.2,2.2,3200
BIG,20221021,13,13.8,11.4,12,77300
BIO,20221021,27.4,27.4,23.5,23.5,201
BLI,20221021,13.4,16.8,13.4,16.4,2000
BLN,20221021,6.6,6.7,6.6,6.7,400
BLT,20221021,24.8,24.8,24.8,24.8,1
BMG,20221021,20.9,20.9,20.9,20.9,200
BMJ,20221021,17.8,17.8,17.8,17.8,100
BMN,20221021,33.8,33.8,33.8,33.8,276
BMS,20221021,6.9,6.9,6.3,6.3,39416
BOT,20221021,5.2,5.2,4.7,5,163800
BRR,20221021,21.2,25.8,21.2,21.3,20200
BSA,20221021,16.5,19.9,16.5,19.9,49715
BSG,20221021,10.8,11.6,10.7,11.6,3100
BSL,20221021,11.5,11.5,11.5,11.5,500
BSQ,20221021,37.1,37.1,36.9,36.9,800
BSR,20221021,20.6,20.9,18.6,19,12778238
BTD,20221021,30.9,30.9,28.5,28.5,2700
BTN,20221021,4.7,4.7,4.5,4.5,4213
BTU,20221021,11.8,11.8,11.8,11.8,500
BTV,20221021,11.3,11.3,11.3,11.3,100
BVB,20221021,10,10.1,9.3,9.6,687828
BVG,20221021,2.2,2.2,2,2.2,48000
C12,20221021,4,4,4,4,1000
C21,20221021,12.2,12.2,12,12,9400
C4G,20221021,10,10.1,9.2,9.4,1275175
C92,20221021,3.1,3.2,3,3.1,4900
CAD,20221021,1.2,1.2,1.2,1.2,5805
CAR,20221021,30.7,30.7,29.7,29.7,2700
CAT,20221021,20,22.5,18.5,22.5,7300
CBI,20221021,8.5,8.5,8.2,8.2,7200
CBS,20221021,57.8,57.8,55,55,5400
CC1,20221021,12,13.5,12,13.5,2200
CCA,20221021,15,15,12.8,12.8,15400
CCM,20221021,41.5,41.5,41.5,41.5,205
CCP,20221021,10.4,10.4,10.4,10.4,100
CCT,20221021,11.1,11.1,11.1,11.1,100
CDO,20221021,2.5,2.7,2.5,2.5,167227
CDR,20221021,6.3,6.3,6.2,6.2,400
CEG,20221021,3.9,3.9,3.9,3.9,100
CEN,20221021,4.9,5,4.5,4.6,381200
CFM,20221021,8.2,8.2,8.2,8.2,100
CGV,20221021,3.2,3.3,3.2,3.3,5300
CHS,20221021,8.8,8.8,8.8,8.8,100
CID,20221021,6.7,6.7,6.7,6.7,900
CIP,20221021,2.9,3.1,2.9,3.1,600
CKD,20221021,26.2,29,26.2,29,200
CLG,20221021,1.1,1.2,1.1,1.2,82626
CLX,20221021,13.8,13.8,12.7,12.9,60950
CMD,20221021,18.1,22.6,18.1,19.6,500
CMI,20221021,2.4,2.4,2.2,2.4,25800
CMT,20221021,18.9,18.9,16.9,17.4,8400
CNC,20221021,30.2,30.3,30.2,30.3,3200
CNN,20221021,30,31,30,31,1500
CNT,20221021,13.7,13.7,12.4,12.5,4457
CPI,20221021,3.3,3.3,2.7,3.3,12100
CQN,20221021,18,18,18,18,2000
CQT,20221021,13,13,13,13,100
CSI,20221021,59.8,62,56,56,54900
CST,20221021,16,16,14.9,15.1,153457
CT3,20221021,7.3,7.3,7.3,7.3,10600
CT6,20221021,4.2,4.2,4.2,4.2,76
CTA,20221021,1.9,1.9,1.9,1.9,10400
CTN,20221021,1.3,1.3,1.1,1.2,7803
